Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),SOC
0.999533176,3.725105524,0.175188124,0,1
0.999893069,3.726401567,0.177965328,0,1
0.999713123,3.727535486,0.180746744,0,1
1.000073075,3.72883153,0.183528215,0,1
0.999893069,3.729803324,0.186305362,0,1
0.999713123,3.730937243,0.189091191,0,1
0.999893069,3.73174715,0.191872653,0,1
0.999893069,3.732881308,0.194654142,0,1
1.000073075,3.734015226,0.197435653,0,1
0.999713123,3.734825134,0.200217068,0,1
1.000073075,3.735797167,0.202998574,0,1
0.999713123,3.736607075,0.205780038,0,1
0.999713123,3.737416983,0.208561496,0,1
0.999893069,3.738389015,0.211342982,0,1
0.999713123,3.738874912,0.214124515,0,1
0.999893069,3.739522934,0.216901606,0,1
0.999713123,3.740332842,0.21968741,0,1
0.999713123,3.740980864,0.222468892,0,1
0.999713123,3.741628647,0.225246066,0,1
0.999893069,3.742276669,0.228027414,0,1
0.999713123,3.742762804,0.230804471,0,1
0.999713123,3.743248701,0.233590251,0,1
0.999713123,3.743734598,0.236371699,0,1
0.999713123,3.744220495,0.23915312,0,1
0.999533176,3.744544506,0.24193454,0,1
0.999713123,3.745030642,0.244715989,0,1
0.999713123,3.745678425,0.247493114,0,1
0.999713123,3.746002436,0.25027893,0,1
0.999713123,3.746326447,0.253060383,0,1
0.999713123,3.746812582,0.255841831,0,1
0.999893069,3.747136354,0.25862326,0,1
0.999533176,3.747298479,0.261404703,0,1
0.999713123,3.74762249,0.264186131,0,1
0.999713123,3.747946501,0.26696759,0,1
0.999713123,3.748432398,0.26974472,0,1
0.999713123,3.748594284,0.272530525,0,1
0.999533176,3.748756409,0.275311931,0,1
0.999713123,3.74908042,0.278089029,0,1
0.999713123,3.749242306,0.280874871,0,1
0.999533176,3.749566317,0.28365635,0,1
0.999713123,3.749728441,0.286433513,0,1
0.999893069,3.750376225,0.289219336,0,1
0.999713123,3.750538349,0.292000768,0,1
0.999713123,3.750700235,0.294782238,0,1
0.999713123,3.751024246,0.297563717,0,1
0.999713123,3.751186371,0.300340911,0,1
0.999893069,3.751510143,0.303122355,0,1
0.999713123,3.751834154,0.305903801,0,1
0.999893069,3.752158165,0.308685267,0,1
0.999713123,3.752158165,0.311445026,0,1
0.999533176,3.75232029,0.314243862,0,1
0.999893069,3.752482176,0.317025309,0,1
0.999893069,3.752644062,0.319802426,0,1
0.999713123,3.753130198,0.322588186,0,1
0.999713123,3.753292084,0.325369635,0,1
0.999893069,3.753616095,0.328151136,0,1
0.999893069,3.753778219,0.330932579,0,1
1.000073075,3.753940105,0.333714044,0,1
0.999713123,3.754264116,0.336495496,0,1
0.999713123,3.754264116,0.339276927,0,1
1.000073075,3.754912138,0.342054062,0,1
0.999713123,3.755074024,0.3448399,0,1
0.999893069,3.755074024,0.347617056,0,1
0.999713123,3.755236149,0.350402927,0,1
0.999713123,3.755722046,0.353180023,0,1
0.999713123,3.755722046,0.355961546,0,1
0.999713123,3.756046057,0.358743016,0,1
0.999713123,3.756207943,0.361524459,0,1
0.999893069,3.756531954,0.364305935,0,1
0.999713123,3.756694078,0.367083051,0,1
0.999893069,3.757017851,0.369868886,0,1
0.999893069,3.757341862,0.372650358,0,1
0.999713123,3.757503986,0.375427507,0,1
0.999713123,3.757827997,0.37821333,0,1
0.999713123,3.757827997,0.380994818,0,1
0.999713123,3.758313894,0.383771987,0,1
0.999713123,3.75847578,0.386549052,0,1
0.999713123,3.758637905,0.389334824,0,1
0.999893069,3.758961916,0.392116348,0,1
0.999893069,3.759285927,0.394897803,0,1
0.999893069,3.759447813,0.397679272,0,1
0.999533176,3.759609699,0.400460769,0,1
0.999893069,3.760095835,0.403237933,0,1
0.999893069,3.760257721,0.406023756,0,1
0.999713123,3.760419846,0.40880523,0,1
1.000073075,3.760743856,0.411582419,0,1
0.999713123,3.761067629,0.414363889,0,1
0.999713123,3.76139164,0.417145357,0,1
0.999713123,3.761553764,0.419926844,0,1
0.999713123,3.761877775,0.42270832,0,1
0.999893069,3.762201786,0.425489801,0,1
0.999893069,3.762525558,0.428271266,0,1
0.999713123,3.762687683,0.431052756,0,1
0.999713123,3.762849569,0.433834191,0,1
0.999533176,3.763335705,0.436615635,0,1
0.999713123,3.763659716,0.439392812,0,1
0.999713123,3.763821602,0.442169821,0,1
0.999713123,3.764145613,0.444955628,0,1
0.999893069,3.76463151,0.447732713,0,1
0.999893069,3.764955521,0.450518553,0,1
0.999893069,3.765117645,0.453299971,0,1
1.000073075,3.765441418,0.45608145,0,1
0.999713123,3.765927553,0.458858596,0,1
0.999893069,3.766251564,0.461644397,0,1
0.999893069,3.766575336,0.464425844,0,1
0.999713123,3.766737461,0.467203008,0,1
0.999713123,3.767061472,0.469984435,0,1
0.999713123,3.767385483,0.472765884,0,1
0.999893069,3.767709494,0.475547404,0,1
0.999893069,3.768195391,0.478324627,0,1
0.999713123,3.768357277,0.481110451,0,1
0.999893069,3.768681288,0.483891921,0,1
0.999533176,3.769167423,0.486673406,0,1
0.999713123,3.769491196,0.489454881,0,1
0.999533176,3.76965332,0.492236357,0,1
0.999893069,3.770301342,0.495013532,0,1
0.999533176,3.770463228,0.497794962,0,1
0.999713123,3.770949125,0.500576445,0,1
0.999713123,3.771273136,0.503353569,0,1
0.999893069,3.771759272,0.506139383,0,1
0.999713123,3.772083282,0.508920861,0,1
0.999713123,3.772407055,0.511702331,0,1
0.999893069,3.772731066,0.514479434,0,1
0.999713123,3.773055077,0.517265279,0,1
0.999893069,3.773703098,0.52004676,0,1
0.999893069,3.774027109,0.522823929,0,1
0.999893069,3.77435112,0.525605323,0,1
0.999713123,3.774675131,0.528386813,0,1
0.999713123,3.775161028,0.531168333,0,1
0.999893069,3.775646925,0.533945465,0,1
0.999893069,3.77613306,0.536731323,0,1
0.999713123,3.776294947,0.53950846,0,1
0.999713123,3.776942968,0.542294267,0,1
0.999893069,3.777266979,0.54507575,0,1
1.000073075,3.777752876,0.547857216,0,1
0.999713123,3.778076887,0.550634398,0,1
0.999713123,3.778562784,0.553411483,0,1
0.999713123,3.77904892,0.556197269,0,1
0.999893069,3.779534817,0.558978731,0,1
0.999893069,3.779858828,0.561760206,0,1
0.999893069,3.780344725,0.564541708,0,1
0.999713123,3.780830622,0.567323176,0,1
0.999713123,3.781154633,0.57010467,0,1
0.999893069,3.78196454,0.572886156,0,1
0.999893069,3.782288551,0.575667607,0,1
0.999713123,3.782612562,0.578444762,0,1
0.999713123,3.783260584,0.58122184,0,1
0.999713123,3.783584595,0.584007635,0,1
0.999713123,3.784070492,0.586789059,0,1
0.999893069,3.784556627,0.58957044,0,1
0.999713123,3.785366535,0.592351861,0,1
0.999713123,3.785690546,0.595133288,0,1
0.999713123,3.786176443,0.597910385,0,1
0.999893069,3.78666234,0.600696222,0,1
0.999713123,3.787148476,0.603473367,0,1
0.999713123,3.787796259,0.606254878,0,1
0.999893069,3.788282394,0.609036282,0,1
0.999713123,3.788768291,0.611817784,0,1
0.999713123,3.789416313,0.61459921,0,1
0.999713123,3.789740324,0.617380676,0,1
0.999713123,3.790226221,0.620162101,0,1
0.999893069,3.790874243,0.622943561,0,1
0.999893069,3.79136014,0.625725044,0,1
0.999713123,3.792170048,0.628502217,0,1
0.999713123,3.792494059,0.631288049,0,1
1.000073075,3.79314208,0.634065222,0,1
0.999533176,3.793627977,0.636846673,0,1
0.999893069,3.794438124,0.639623829,0,1
0.999713123,3.794761896,0.642409597,0,1
0.999893069,3.795409918,0.645143296,0,1
0.999713123,3.795895815,0.647968185,0,1
0.999713123,3.79638195,0.650749685,0,1
0.999893069,3.797191858,0.653531149,0,1
1.000073075,3.79783988,0.656312633,0,1
0.999533176,3.798325777,0.659094107,0,1
0.999893069,3.798811674,0.661875642,0,1
0.999893069,3.799459696,0.664657046,0,1
0.999713123,3.800107718,0.667438557,0,1
0.999713123,3.800755739,0.670220017,0,1
0.999533176,3.801403761,0.673001486,0,1
0.999713123,3.801889658,0.675782956,0,1
0.999893069,3.80253768,0.67856447,0,1
0.999713123,3.803347588,0.68134169,0,1
0.999713123,3.803833485,0.68412747,0,1
0.999893069,3.804481506,0.686908948,0,1
0.999713123,3.804967403,0.689686063,0,1
0.999893069,3.805777311,0.692467473,0,1
0.999893069,3.806587458,0.695248934,0,1
0.999713123,3.806911469,0.698030433,0,1
0.999713123,3.807883263,0.700811897,0,1
0.999533176,3.808207273,0.703593399,0,1
0.999713123,3.809017181,0.706374874,0,1
0.999713123,3.809827328,0.709152057,0,1
0.999713123,3.810313225,0.7119379,0,1
1.000073075,3.810961246,0.714719404,0,1
0.999713123,3.811771154,0.717496596,0,1
0.999713123,3.812257051,0.720278041,0,1
0.999713123,3.812905073,0.723059507,0,1
0.999713123,3.813714981,0.725841027,0,1
0.999713123,3.814524889,0.728622502,0,1
0.999713123,3.815011024,0.731399685,0,1
0.999893069,3.815982819,0.734185582,0,1
0.999893069,3.81663084,0.73696752,0,1
0.999893069,3.817440748,0.739748541,0,1
0.999533176,3.817764759,0.742530037,0,1
0.999893069,3.818736792,0.745307281,0,1
0.999533176,3.819384813,0.748088762,0,1
0.99935323,3.820032597,0.75087021,0,1
0.999713123,3.820842743,0.753651679,0,1
0.999893069,3.821652651,0.756433222,0,1
0.999713123,3.822300673,0.759214739,0,1
1.000073075,3.82311058,0.761987571,0,1
0.999713123,3.823758602,0.764773379,0,1
0.999533176,3.82456851,0.76755486,0,1
0.999893069,3.825540304,0.770336311,0,1
0.999533176,3.82602644,0.773117787,0,1
0.999533176,3.826836348,0.77589924,0,1
0.999533176,3.827484369,0.778680684,0,1
0.999713123,3.828294277,0.781462171,0,1
0.999893069,3.829104185,0.784243663,0,1
0.999713123,3.829914093,0.787025171,0,1
0.999893069,3.830724239,0.789806657,0,1
0.999893069,3.831372023,0.792588141,0,1
0.999713123,3.832020044,0.795369617,0,1
0.999713123,3.832829952,0.798151096,0,1
0.999893069,3.833801985,0.800928318,0,1
0.999713123,3.834611893,0.803709747,0,1
0.999893069,3.835259914,0.806491239,0,1
0.999713123,3.835907936,0.809272713,0,1
0.999893069,3.837041855,0.812054197,0,1
0.999893069,3.837851763,0.814835623,0,1
0.999713123,3.838499784,0.817617086,0,1
0.999533176,3.839309692,0.820398553,0,1
0.999713123,3.839957714,0.823180026,0,1
0.999713123,3.840929508,0.82596157,0,1
0.999713123,3.841901541,0.828743011,0,1
0.999713123,3.842549562,0.831524528,0,1
0.999533176,3.843521357,0.834301706,0,1
0.999713123,3.844493389,0.837087555,0,1
0.999893069,3.845303297,0.839869007,0,1
0.999893069,3.845951319,0.842650475,0,1
0.999893069,3.846761227,0.845427639,0,1
0.999893069,3.847733259,0.848204767,0,1
0.999713123,3.848543167,0.850990565,0,1
0.999713123,3.8495152,0.853772045,0,1
0.999713123,3.850163221,0.856549255,0,1
0.999893069,3.851135015,0.859330717,0,1
0.999533176,3.851944923,0.862112214,0,1
0.999713123,3.852916956,0.864893758,0,1
0.999713123,3.853888988,0.867675239,0,1
0.999713123,3.854698896,0.870456733,0,1
0.999893069,3.855832815,0.873238225,0,1
0.999893069,3.856642723,0.876019723,0,1
0.999713123,3.857452631,0.878801197,0,1
0.999713123,3.858424664,0.88158275,0,1
0.999893069,3.859396696,0.884359969,0,1
0.999893069,3.860206604,0.887141453,0,1
0.999713123,3.861178637,0.889922965,0,1
0.999893069,3.861988544,0.892704468,0,1
0.999893069,3.863122463,0.895485967,0,1
0.999893069,3.863932371,0.89826745,0,1
0.999533176,3.864742279,0.901048941,0,1
0.999713123,3.865876198,0.90382611,0,1
0.999893069,3.866686344,0.906611942,0,1
1.000073075,3.867820263,0.909393392,0,1
0.999713123,3.868792057,0.912170559,0,1
0.999893069,3.869602203,0.914952011,0,1
0.999713123,3.870736122,0.917733513,0,1
0.999713123,3.871707916,0.920515048,0,1
0.999893069,3.872679949,0.923296514,0,1
0.999713123,3.873489857,0.926078039,0,1
0.999713123,3.874461889,0.928855204,0,1
0.999893069,3.875757694,0.931636696,0,1
0.999713123,3.876567841,0.934418239,0,1
0.999893069,3.877701759,0.937204097,0,1
0.999533176,3.878673553,0.939981275,0,1
0.999893069,3.879645586,0.94275842,0,1
0.999893069,3.880617619,0.945544257,0,1
0.999713123,3.881751537,0.948325781,0,1
0.999893069,3.882885456,0.951107282,0,1
0.999893069,3.883857489,0.953884465,0,1
0.999533176,3.884667397,0.956670318,0,1
1.000073075,3.886125326,0.959447501,0,1
0.999893069,3.88709712,0.962228969,0,1
0.999893069,3.888069153,0.965010488,0,1
0.999713123,3.889203072,0.967796316,0,1
0.999713123,3.890175104,0.970577818,0,1
0.999893069,3.891309023,0.973359315,0,1
0.999713123,3.892280817,0.976136541,0,1
0.999533176,3.893414974,0.97891367,0,1
0.999893069,3.894710779,0.98169951,0,1
0.999893069,3.895844698,0.984481,0,1
0.999713123,3.89681673,0.987262516,0,1
0.999893069,3.897626638,0.990044031,0,1
0.999893069,3.898922682,0.992816833,0,1
0.999713123,3.900056601,0.995602757,0,1
0.999893069,3.901190519,0.998379851,0,1
0.999893069,3.902324438,1.001165708,0,1
1.000073075,3.903458357,1.003947254,0,1
1.000073075,3.9047544,1.006728747,0,1
0.999713123,3.905726194,1.009505931,0,1
0.999713123,3.906860113,1.01229179,0,1
0.999893069,3.907994032,1.015068969,0,1
0.999533176,3.909127951,1.017850404,0,1
0.999713123,3.91058588,1.020631877,0,1
0.999893069,3.911557913,1.023413405,0,1
0.999893069,3.913015842,1.026194887,0,1
0.999713123,3.913987875,1.028976371,0,1
0.999893069,3.915121794,1.031757886,0,1
0.999533176,3.916255713,1.034535043,0,1
0.999533176,3.917389631,1.037320906,0,1
1.000073075,3.919009447,1.040098097,0,1
0.999713123,3.91998148,1.042883886,0,1
0.999893069,3.921115398,1.045665412,0,1
1.000073075,3.922573328,1.048446909,0,1
0.999893069,3.923707247,1.051137312,0,1
0.999713123,3.924841166,1.054005622,0,1
0.999713123,3.926137209,1.056782775,0,1
0.999713123,3.927433014,1.059568595,0,1
0.999893069,3.928729057,1.062350123,0,1
0.999893069,3.930024862,1.065131577,0,1
0.999713123,3.931159019,1.067913054,0,1
0.999713123,3.932454824,1.070694542,0,1
0.999893069,3.933750868,1.073476059,0,1
0.999533176,3.934884787,1.07625323,0,1
0.999893069,3.936180592,1.079034769,0,1
0.999713123,3.937638521,1.081816228,0,1
1.000073075,3.938934565,1.084597682,0,1
0.999713123,3.94023037,1.087379168,0,1
0.999893069,3.941526413,1.090160688,0,1
0.999893069,3.942984343,1.092942225,0,1
1.000073075,3.944118261,1.09572373,0,1
0.999893069,3.945414066,1.098505246,0,1
0.999713123,3.946871996,1.101286781,0,1
0.999713123,3.948006153,1.104068321,0,1
0.999893069,3.949301958,1.106845547,0,1
0.999713123,3.950759888,1.109626981,0,1
0.999893069,3.952055931,1.112408477,0,1
0.999893069,3.953513861,1.115189977,0,1
0.999713123,3.954809666,1.117971477,0,1
0.999713123,3.956267595,1.120752971,0,1
0.999713123,3.957563639,1.123534502,0,1
1.000073075,3.959021568,1.126316007,0,1
0.999713123,3.960317373,1.129097537,0,1
0.999533176,3.961451292,1.1318747,0,1
0.999713123,3.963071346,1.134656307,0,1
0.999893069,3.964529276,1.137437832,0,1
0.999893069,3.965825081,1.140219325,0,1
0.999713123,3.96728301,1.143000942,0,1
0.999713123,3.96874094,1.145782521,0,1
0.999713123,3.969874859,1.148564018,0,1
0.999893069,3.971332788,1.151345546,0,1
0.999893069,3.972790718,1.154127129,0,1
1.000073075,3.974410772,1.156904369,0,1
0.999893069,3.975706577,1.159690236,0,1
0.999893069,3.977164507,1.162467522,0,1
0.999713123,3.97846055,1.165248975,0,1
0.999893069,3.980080366,1.168030509,0,1
0.999713123,3.981538296,1.170807774,0,1
0.999893069,3.982834339,1.173593606,0,1
0.999533176,3.984292269,1.176370792,0,1
0.999713123,3.985750198,1.179156674,0,1
0.999713123,3.987208128,1.181933857,0,1
0.999893069,3.988827944,1.184719765,0,1
0.999893069,3.990123749,1.187501246,0,1
0.999533176,3.991743803,1.190278434,0,1
0.999893069,3.993039608,1.193059902,0,1
0.999713123,3.994497538,1.195837101,0,1
0.999893069,3.995955467,1.198622972,0,1
0.999893069,3.997413397,1.201400133,0,1
0.999713123,3.99870944,1.204185998,0,1
0.999893069,4.000329494,1.20696754,0,1
0.999713123,4.001787186,1.209749044,0,1
0.999893069,4.003245354,1.212530506,0,1
0.999713123,4.00486517,1.215312022,0,1
0.999713123,4.006322861,1.218093544,0,1
0.999533176,4.007618904,1.220870688,0,1
0.999893069,4.00923872,1.223647914,0,1
0.999893069,4.010859013,1.226433752,0,1
0.999713123,4.012316704,1.22921087,0,1
0.999713123,4.013774872,1.231992322,0,1
0.999893069,4.015232563,1.234773839,0,1
0.999533176,4.016852379,1.237555277,0,1
0.999893069,4.018310547,1.240336795,0,1
0.999533176,4.019930363,1.243118309,0,1
0.999713123,4.021388054,1.245899847,0,1
0.999713123,4.023008347,1.24868132,0,1
0.999893069,4.024466038,1.251462777,0,1
0.999893069,4.026247978,1.25424425,0,1
0.999713123,4.027706146,1.257025777,0,1
0.999893069,4.029325962,1.259807296,0,1
0.999713123,4.030945778,1.26258453,0,1
0.999893069,4.032403469,1.265365996,0,1
0.999893069,4.034023762,1.268147466,0,1
0.999893069,4.035481453,1.27081177,0,1
0.999533176,4.037101269,1.273706103,0,1
0.999893069,4.038721561,1.276487628,0,1
0.999713123,4.040341377,1.27926483,0,1
0.999713123,4.041961193,1.282041991,0,1
0.999893069,4.043743134,1.28482785,0,1
0.999893069,4.045362949,1.287604994,0,1
0.999893069,4.046982765,1.290390859,0,1
0.999893069,4.048440933,1.293172395,0,1
0.999893069,4.050222874,1.295953948,0,1
0.999713123,4.05184269,1.298731129,0,1
0.999893069,4.05362463,1.301512588,0,1
0.999713123,4.055568695,1.304298414,0,1
0.999713123,4.057026386,1.307079923,0,1
0.999893069,4.058970451,1.309857141,0,1
0.999533176,4.060590267,1.312638616,0,1
0.999893069,4.062534332,1.31542016,0,1
0.999893069,4.064315796,1.31820167,0,1
0.999893069,4.066097736,1.320983242,0,1
0.999893069,4.068041801,1.32376479,0,1
0.999713123,4.069661617,1.326546316,0,1
0.999713123,4.071605682,1.329323469,0,1
0.999713123,4.073549747,1.332109343,0,1
0.999893069,4.075331211,1.334886472,0,1
0.999713123,4.077437401,1.337667963,0,1
0.999713123,4.079381466,1.34044939,0,1
0.999893069,4.081325054,1.343230855,0,1
0.999893069,4.083106995,1.346012367,0,1
0.999713123,4.08505106,1.348793841,0,1
0.999893069,4.086994648,1.351575331,0,1
0.999533176,4.088938713,1.35435686,0,1
0.999713123,4.090720654,1.357138365,0,1
0.999713123,4.092826366,1.359919892,0,1
0.999893069,4.094608307,1.362701382,0,1
0.999893069,4.096714497,1.365478575,0,1
0.999893069,4.098496437,1.368259988,0,1
0.999713123,4.100440025,1.371041549,0,1
0.999713123,4.102221966,1.373818675,0,1
0.999713123,4.104328156,1.376604526,0,1
0.999893069,4.106271744,1.379381768,0,1
0.999713123,4.108053684,1.382163246,0,1
0.999713123,4.109835625,1.384944723,0,1
0.999893069,4.111941338,1.387726238,0,1
0.999713123,4.113723278,1.390507794,0,1
0.999533176,4.115343571,1.393284844,0,1
0.999893069,4.117611408,1.396070649,0,1
0.999893069,4.119393349,1.398847907,0,1
0.999893069,4.121336937,1.401629426,0,1
0.999713123,4.122956753,1.404410875,0,1
0.999713123,4.125062943,1.407188082,0,1
0.999713123,4.127006531,1.409965235,0,1
1.000073075,4.128788471,1.412751064,0,1
0.999713123,4.130732536,1.415528299,0,1
0.999893069,4.132838249,1.418309918,0,1
0.999893069,4.134296417,1.421091327,0,1
0.999713123,4.13640213,1.423868556,0,1
0.999893069,4.138346195,1.426645683,0,1
0.999893069,4.14029026,1.429431464,0,1
0.999893069,4.142072201,1.432208673,0,1
0.999893069,4.143853664,1.434990231,0,1
0.999893069,4.145797729,1.437771682,0,1
0.999713123,4.147741795,1.440548894,0,1
0.999713123,4.149685383,1.443326049,0,1
0.999713123,4.151305676,1.446107571,0,1
0.999893069,4.153411388,1.448889036,0,1
0.999893069,4.155355453,1.451670538,0,1
0.999713123,4.157137394,1.454447684,0,1
0.999893069,4.159080982,1.457233486,0,1
0.999893069,4.161187172,1.460014934,0,1
0.999713123,4.162969112,1.462792243,0,1
0.999713123,4.164750576,1.465569301,0,1
0.999713123,4.166694641,1.468355128,0,1
0.999893069,4.168800831,1.471132381,0,1
0.999533176,4.170582294,1.473909474,0,1
0.999713123,4.172364235,1.476695311,0,1
0.999893069,4.174470425,1.479476752,0,1
0.999893069,4.176414013,1.482254003,0,1
0.999893069,4.178195953,1.485035522,0,1
0.999893069,4.179977894,1.487816941,0,1
0.999533176,4.181921959,1.490598452,0,1
0.999713123,4.184027672,1.49337994,0,1
0.999533176,4.185809612,1.496157126,0,1
0.999533176,4.187753677,1.498938631,0,1
0.999713123,4.189697742,1.501715769,0,1
0.999893069,4.191803455,1.504493008,0,1
0.999713123,4.19374752,1.507278864,0,1
0.999893069,4.195691109,1.510056,0,1
0.999713123,4.197473049,1.512841874,0,1
0.999893069,4.199579239,1.515623336,0,1
0.999713123,4.200065136,1.516178771,0,1
0.980998635,4.199903011,1.518931693,0,1
0.964803398,4.199903011,1.521637459,0,1
0.949867725,4.199740887,1.524296221,0,1
0.936011791,4.199740887,1.526919131,0,1
0.92251575,4.199579239,1.529504233,0,1
0.909919441,4.199740887,1.532052935,0,1
0.897323132,4.199740887,1.534566829,0,1
0.885446608,4.199740887,1.537043114,0,1
0.873929977,4.199903011,1.539494279,0,1
0.862413347,4.199740887,1.541909616,0,1
0.851256609,4.199740887,1.544293719,0,1
0.84063971,4.199903011,1.546643639,0,1
0.830022812,4.199903011,1.548970984,0,1
0.81958586,4.199903011,1.551265224,0,1
0.809148908,4.199740887,1.55353063,0,1
0.799071908,4.199740887,1.555764266,0,1
0.789354742,4.199740887,1.557973627,0,1
0.779637575,4.199903011,1.560155771,0,1
0.770100355,4.199903011,1.562311,0,1
0.760383189,4.199740887,1.564439807,0,1
0.751205921,4.199740887,1.56653926,0,1
0.74220854,4.199903011,1.568619786,0,1
0.732851267,4.199903011,1.570671553,0,1
0.724033833,4.199740887,1.57269509,0,1
0.715576351,4.199903011,1.574700408,0,1
0.70657897,4.199740887,1.576678595,0,1
0.698301375,4.199740887,1.578632999,0,1
0.69002378,4.199903011,1.580564118,0,1
0.681926191,4.199740887,1.582472155,0,1
0.673648596,4.199903011,1.584354572,0,1
0.665371001,4.199903011,1.586217494,0,1
0.657813251,4.199903011,1.588058398,0,1
0.649895549,4.199740887,1.589877503,0,1
0.642337739,4.200065136,1.591672489,0,1
0.634959936,4.199740887,1.59344932,0,1
0.627582073,4.199903011,1.595202606,0,1
0.62020427,4.199903011,1.596940911,0,1
0.6131863,4.199903011,1.598656202,0,1
0.605808437,4.199903011,1.600351784,0,1
0.598790526,4.199740887,1.602027778,0,1
0.591952503,4.199903011,1.603684208,0,1
0.584934592,4.199740887,1.605321592,0,1
0.578456461,4.199740887,1.606940151,0,1
0.571978331,4.199903011,1.608537678,0,1
0.565320313,4.199903011,1.610119581,0,1
0.559022129,4.199903011,1.611683388,0,1
0.552364111,4.199740887,1.61322953,0,1
0.546065927,4.199740887,1.614758143,0,1
0.540127695,4.199740887,1.61626711,0,1
0.534009457,4.199579239,1.617763726,0,1
0.528251171,4.199740887,1.619241268,0,1
0.52231288,4.199740887,1.62070225,0,1
0.516374648,4.199740887,1.62214679,0,1
0.510436356,4.199903011,1.623575353,0,1
0.505037963,4.199740887,1.624988044,0,1
0.499099702,4.199903011,1.626385083,0,1
0.493701279,4.199740887,1.627764495,0,1
0.488302857,4.199740887,1.629132813,0,1
0.483084381,4.199740887,1.630484194,0,1
0.477865905,4.199740887,1.631818775,0,1
0.472647429,4.199903011,1.633140691,0,1
0.467608899,4.199740887,1.634446291,0,1
0.462750345,4.199903011,1.635741748,0,1
0.457711816,4.199903011,1.637021172,0,1
0.45249334,4.199740887,1.638287001,0,1
0.447634757,4.199740887,1.639537234,0,1
0.44295612,4.199740887,1.640776005,0,1
0.438097537,4.199903011,1.642003384,0,1
0.433598876,4.199903011,1.643215766,0,1
0.428920239,4.199740887,1.644413512,0,1
0.424241602,4.199740887,1.645598354,0,1
0.419742912,4.199740887,1.646774332,0,1
0.415244251,4.199579239,1.647934182,0,1
0.410925508,4.199740887,1.649085422,0,1
0.40678671,4.199903011,1.650222817,0,1
0.401928127,4.199740887,1.651346537,0,1
0.398149252,4.199740887,1.65246023,0,1
0.393830508,4.199740887,1.653562196,0,1
0.390051603,4.199903011,1.654652668,0,1
0.385912836,4.199740887,1.655731805,0,1
0.381953984,4.199903011,1.65679973,0,1
0.377635241,4.199903011,1.657856568,0,1
0.374036312,4.199903011,1.658902496,0,1
0.370257407,4.199903011,1.659937668,0,1
0.36611861,4.199903011,1.660960541,0,1
